Inches,CPU_Frequency_Numeric,Ram_Numeric,Size_Numeric,Weight_Numeric,Log_Price_dollars,Company_Acer,Company_Apple,Company_Asus,Company_Chuwi,Company_Dell,Company_Fujitsu,Company_Google,Company_HP,Company_Huawei,Company_LG,Company_Lenovo,Company_MSI,Company_Mediacom,Company_Microsoft,Company_Razer,Company_Samsung,Company_Toshiba,Company_Vero,Company_Xiaomi,Cpu_Company_AMD,Cpu_Company_Intel,Memory_Structure_Categories_Flash,Memory_Structure_Categories_HDD,Memory_Structure_Categories_Hybrid,Memory_Structure_Categories_SSD,Gpu_Company_AMD,Gpu_Company_Intel,Gpu_Company_Nvidia,OpSys_Android,OpSys_Chrome OS,OpSys_Linux,OpSys_Mac OS X,OpSys_No OS,OpSys_Windows 10,OpSys_Windows 10 S,OpSys_Windows 7,OpSys_macOS,Actual_LR,Predicted_LR,pctDiff_LR,Diff_LR,Actual_RF,Predicted_RF,pctDiff_RF,Diff_RF,Actual_NN,Predicted_NN,pctDiff_NN,Diff_NN
17.3,1.8,16,256,2.8,7.336936913707618,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1536.0,1261.0,18.0,-275.0,1536.0,1370.0,11.0,-166.0,1536.0,1287.0,16.0,-249.0
17.3,1.8,16,256,2.8,7.264730177929867,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1429.0,1261.0,12.0,-168.0,1429.0,1370.0,4.0,-59.0,1429.0,1287.0,10.0,-142.0
17.3,1.6,8,128,2.8,7.085064293952548,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1194.0,818.0,31.0,-376.0,1194.0,1072.0,10.0,-122.0,1194.0,1091.0,9.0,-103.0
17.3,1.6,8,128,2.8,6.885509670034818,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,978.0,643.0,34.0,-335.0,978.0,1071.0,10.0,93.0,978.0,1160.0,19.0,182.0
17.3,1.6,8,256,2.8,6.643789733147672,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,768.0,622.0,19.0,-146.0,768.0,764.0,0.0,-4.0,768.0,530.0,31.0,-238.0
17.3,2.5,6,1000,2.8,6.570882962339584,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,714.0,797.0,12.0,83.0,714.0,682.0,4.0,-32.0,714.0,850.0,19.0,136.0
17.3,2.0,4,1000,2.8,6.2878585601617845,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,538.0,551.0,2.0,13.0,538.0,503.0,7.0,-35.0,538.0,525.0,2.0,-13.0
17.3,2.7,16,512,2.77,7.590346945602565,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1979.0,1992.0,1.0,13.0,1979.0,1979.0,0.0,0.0,1979.0,1947.0,2.0,-32.0
17.3,1.6,12,1000,2.77,7.002155954403621,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1099.0,898.0,18.0,-201.0,1099.0,832.0,24.0,-267.0,1099.0,1008.0,8.0,-91.0
17.3,2.8,16,256,2.73,7.720905251936779,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2255.0,1827.0,19.0,-428.0,2255.0,1861.0,17.0,-394.0,2255.0,1788.0,21.0,-467.0
